course,code,description
Biomechanics of the cardiovascular system,ME-481,"This lecture will cover anatomy and physiology of the cardiovascular system, biophysics of the blood, cardiac mechanics, hemodynamics and biomechanics of the arterial system, microcirculation and biomechanics of the venous system."
Biomechanics of the musculoskeletal system,ME-482,"The basis for a mechanical description of the musculoskeletal system are presented. This description is based on the concepts of solid mechanics, physiology and anatomy of the musculoskeletal system. Concrete examples of the development of implants are also covered."
Biomedical optics,BIOENG-445,"This course addresses the principles governing the interactions between light and biological tissue, their optical properties and basic concepts of radiometry. The most important and illustrative diagnostic and therapeutic applications of light in medicine and photobiology will also be described"
Biomedical signal processing,EE-512,"The goal of this course is to introduce the techniques most commonly used for the analysis of biomedical signals, and to present concrete examples of their application for diagnosis purposes. "
BioMEMS,MICRO-560,"This course covers the main applications of micro devices for life science and biomedical applications. The course is organized by application topic. It is also covering the basic physical, biological, chemical, technological concepts, which are presented as transversal introductory section"
Biomicroscopy I,MICRO-561,Introduction to geometrical and wave optics for understanding the functioning of optical microscopes and their advantages and limitations. How to choose the type of microscope and the imaging method that are best suited for investigating the biological sample of interest?
Biomicroscopy II,MICRO-562,Introduction to the different contrast methods in optical microscopy. Basic hands-on experience with optical microscopes. How to investigate biological samples? How to obtain high quality images?
Biomineralization: from nature to application,ENV-406,"Understanding process and role of biomineralization (minerals formed by living organisms) in context of Earth's evolution,global chemical cycles, climatic changes and remediation."
Biomolecular structure and mechanics,BIO-315,"The main focus of this course is on the description of molecular interactions defining the structure, dynamics and function of biological systems. The principal experimental and computational techniques used in structural biology will be introduced and practiced."
Bio-nano-chip design,EE-517,"Introduction to heterogeneous integration for Nano-Bio-CMOS sensors on Chip. Understanding and designing of active Bio/CMOS interfaces powered by nanostructures."
Biophysics I,PHYS-301,"In this course we will study the cell (minimum unit of life) and its components. We will study several key cellular features: Membranes, genomes, channels and receptors. We will apply the laws of physics to develop models to make quantitative and predictive statements. "
